#1.zgrid 2.gxx 3.gxy 4.gyy 5.gBfield
-6.197916666666667407e-01 2.728557456351173305e-01 8.186708792008189350e-01 7.238780255894164739e+00 1.142330521604279614e+00
-6.145833333333333703e-01 2.786660783180271994e-01 8.564396083703287310e-01 7.281201341030313579e+00 1.138216840916871808e+00
-6.093750000000000000e-01 2.855723358511748633e-01 8.968096306707848964e-01 7.320321348094616098e+00 1.134113618577134552e+00
-6.041666666666667407e-01 2.933440544193460786e-01 9.359111981634486988e-01 7.339056562855355459e+00 1.130017217623628722e+00
-5.989583333333333703e-01 3.019093891763273141e-01 9.741866951352252668e-01 7.342451818006718867e+00 1.125928767346231041e+00
-5.937500000000000000e-01 3.115703197430403359e-01 1.013374773547391916e+00 7.335351019191032051e+00 1.121850778170463414e+00
-5.885416666666667407e-01 3.222799415461361505e-01 1.053184035082654457e+00 7.318586545815392697e+00 1.117781903101200180e+00
-5.833333333333333703e-01 3.336382748135905962e-01 1.092598240820920497e+00 7.295761875353020898e+00 1.113719800665458948e+00
-5.781250000000000000e-01 3.461127837397579565e-01 1.132176264425277745e+00 7.261200370107688151e+00 1.109668683654401855e+00
-5.729166666666667407e-01 3.594349662003791801e-01 1.171118683298772556e+00 7.216676119573524062e+00 1.105626020792683795e+00
-5.677083333333333703e-01 3.735793951549079006e-01 1.208898759533729939e+00 7.160307696801141653e+00 1.101592030935214961e+00
-5.625000000000000000e-01 3.886966013533205144e-01 1.246278733012495810e+00 7.095165538599188082e+00 1.097568268932670010e+00
-5.572916666666667407e-01 4.046324756882457852e-01 1.282708113748020073e+00 7.021681842646149363e+00 1.093553314583918690e+00
-5.520833333333333703e-01 4.215411033596929702e-01 1.318403354441264996e+00 6.939547372731563968e+00 1.089548765308691936e+00
-5.468750000000000000e-01 4.393011270907445920e-01 1.352922674425165672e+00 6.849120584255771860e+00 1.085553615540658434e+00
-5.416666666666667407e-01 4.579031983531948180e-01 1.386484008803943180e+00 6.752790921040062955e+00 1.081568210254830742e+00
-5.364583333333333703e-01 4.774694438682799413e-01 1.419332454922187514e+00 6.651129006739450844e+00 1.077593357334158286e+00
-5.312500000000000000e-01 4.978985140320341674e-01 1.450831137475861787e+00 6.542684525080141533e+00 1.073628294760842872e+00
-5.260416666666667407e-01 5.192179562350948130e-01 1.481288438354756209e+00 6.429703868266374300e+00 1.069673333494169043e+00
-5.208333333333333703e-01 5.413395898309070198e-01 1.510576440081094818e+00 6.313260047405997888e+00 1.065727785994850629e+00
-5.156250000000000000e-01 5.644195406594040287e-01 1.539151371287690528e+00 6.194664818980179177e+00 1.061792904169941654e+00
-5.104166666666667407e-01 5.885485178022495933e-01 1.566811145565987884e+00 6.072539538859620833e+00 1.057869661344158496e+00
